class_id,class_name,direction,rank,feature,coefficient
0,minimum,positive,1,url,0.38410985
0,minimum,positive,2,question,0.23975377
0,minimum,positive,3,would,0.23040335
0,minimum,positive,4,please,0.22020927
0,minimum,positive,5,wanted,0.20233025
0,minimum,positive,6,girl,0.18812698
0,minimum,positive,7,link,0.1858004
0,minimum,positive,8,asked,0.17615892
0,minimum,positive,9,relationship,0.17326088
0,minimum,positive,10,thank,0.16942443
0,minimum,positive,11,post,0.16893867
0,minimum,positive,12,together,0.16510454
0,minimum,positive,13,share,0.16184574
0,minimum,positive,14,met,0.15969431
0,minimum,positive,15,homeless,0.15878803
0,minimum,positive,16,need,0.1546383
0,minimum,positive,17,pay,0.15175053
0,minimum,positive,18,thanks,0.15161787
0,minimum,positive,19,survey,0.1510906
0,minimum,positive,20,said,0.14715198
0,minimum,positive,21,best,0.14483479
0,minimum,positive,22,card,0.14469653
0,minimum,positive,23,job,0.144388
0,minimum,positive,24,guy,0.14420503
0,minimum,positive,25,sister,0.14173695
0,minimum,negative,1,feel,-0.961524
0,minimum,negative,2,anxiety,-0.708384
0,minimum,negative,3,cry,-0.53208464
0,minimum,negative,4,feel like,-0.50730526
0,minimum,negative,5,depression,-0.46409947
0,minimum,negative,6,feeling,-0.45416299
0,minimum,negative,7,like,-0.41038173
0,minimum,negative,8,know,-0.40034616
0,minimum,negative,9,don know,-0.38986674
0,minimum,negative,10,tired,-0.351906
0,minimum,negative,11,anxious,-0.35189238
0,minimum,negative,12,bad,-0.33611432
0,minimum,negative,13,don,-0.31719878
0,minimum,negative,14,even,-0.31383568
0,minimum,negative,15,day,-0.30534613
0,minimum,negative,16,hate,-0.29053712
0,minimum,negative,17,scared,-0.28704667
0,minimum,negative,18,depressed,-0.28176862
0,minimum,negative,19,sick,-0.27879098
0,minimum,negative,20,can,-0.2659539
0,minimum,negative,21,sleep,-0.26354882
0,minimum,negative,22,worse,-0.2366963
0,minimum,negative,23,pain,-0.23526679
0,minimum,negative,24,attack,-0.23273231
0,minimum,negative,25,sad,-0.22594336
1,mild,positive,1,cry,1.1487423
1,mild,positive,2,depression,0.67139804
1,mild,positive,3,depressed,0.492239
1,mild,positive,4,upset,0.43200648
1,mild,positive,5,stop,0.36388755
1,mild,positive,6,friend,0.32730007
1,mild,positive,7,went,0.31110337
1,mild,positive,8,hopeless,0.29487807
1,mild,positive,9,cried,0.29247963
1,mild,positive,10,therapy,0.29238948
1,mild,positive,11,not,0.2842712
1,mild,positive,12,anxiety depression,0.280082
1,mild,positive,13,didn,0.2662068
1,mild,positive,14,going,0.2514338
1,mild,positive,15,anxiety,0.24930783
1,mild,positive,16,therapist,0.24835637
1,mild,positive,17,hurt,0.24466169
1,mild,positive,18,feeling,0.2367884
1,mild,positive,19,trauma,0.22586687
1,mild,positive,20,even,0.22552806
