model,split,length_slice,n_samples,accuracy,macro_f1,recall_severe
BiLSTM,seed_42,short,255,0.6196078431372549,0.35188753455007327,0.23809523809523808
BiLSTM,seed_42,medium,221,0.5656108597285068,0.3651101409575986,0.2857142857142857
BiLSTM,seed_42,long,228,0.5570175438596491,0.28538510101010106,0.19047619047619047
BiLSTM,seed_52,short,245,0.5714285714285714,0.28026387910108835,0.08695652173913043
BiLSTM,seed_52,medium,229,0.5720524017467249,0.3359184082868294,0.2727272727272727
BiLSTM,seed_52,long,230,0.5695652173913044,0.32286034151221993,0.18181818181818182
BiLSTM,seed_62,short,237,0.5738396624472574,0.3458998348926803,0.3181818181818182
BiLSTM,seed_62,medium,230,0.5304347826086957,0.3353737607294642,0.2
BiLSTM,seed_62,long,237,0.4177215189873418,0.22754217223503947,0.20833333333333334
DistilBERT,seed_42,short,255,0.7843137254901961,0.6142130576499757,0.5714285714285714
DistilBERT,seed_42,medium,221,0.7239819004524887,0.5264801250500588,0.5714285714285714
DistilBERT,seed_42,long,228,0.7412280701754386,0.5703030803567352,0.5238095238095238
DistilBERT,seed_52,short,245,0.7428571428571429,0.5025568501632331,0.5652173913043478
DistilBERT,seed_52,medium,229,0.7074235807860262,0.5212165765231977,0.6363636363636364
DistilBERT,seed_52,long,230,0.6260869565217392,0.4278429985010521,0.45454545454545453
DistilBERT,seed_62,short,237,0.7721518987341772,0.5774414296648777,0.5
DistilBERT,seed_62,medium,230,0.7130434782608696,0.5181759693645106,0.5
DistilBERT,seed_62,long,237,0.7046413502109705,0.5287550896267516,0.5416666666666666
Logistic Regression,seed_42,short,255,0.6901960784313725,0.46384308002673924,0.38095238095238093
Logistic Regression,seed_42,medium,221,0.6470588235294118,0.42351332417918375,0.42857142857142855
Logistic Regression,seed_42,long,228,0.6842105263157895,0.48000266881997106,0.5238095238095238
Logistic Regression,seed_52,short,245,0.689795918367347,0.42392164759362505,0.43478260869565216
Logistic Regression,seed_52,medium,229,0.6681222707423581,0.46983603306080796,0.6363636363636364
Logistic Regression,seed_52,long,230,0.5652173913043478,0.35895928707034863,0.22727272727272727
Logistic Regression,seed_62,short,237,0.7088607594936709,0.47930262717536815,0.5454545454545454
Logistic Regression,seed_62,medium,230,0.6782608695652174,0.45316385503301393,0.5
Logistic Regression,seed_62,long,237,0.5991561181434599,0.4092400962504277,0.375
SVM,seed_42,short,255,0.6980392156862745,0.4670107247554925,0.3333333333333333
SVM,seed_42,medium,221,0.6561085972850679,0.4530014124293786,0.42857142857142855
SVM,seed_42,long,228,0.6885964912280702,0.46056394879483337,0.38095238095238093
SVM,seed_52,short,245,0.6938775510204082,0.41915579128573754,0.43478260869565216
SVM,seed_52,medium,229,0.6812227074235808,0.4927383880975105,0.6363636363636364
SVM,seed_52,long,230,0.5565217391304348,0.3461242705496125,0.13636363636363635
SVM,seed_62,short,237,0.7341772151898734,0.4851177062140517,0.5454545454545454
SVM,seed_62,medium,230,0.6565217391304348,0.448897223466189,0.5
SVM,seed_62,long,237,0.6033755274261603,0.39391025641025645,0.375
XGBoost,seed_42,short,255,0.6980392156862745,0.4233553263853903,0.3333333333333333
XGBoost,seed_42,medium,221,0.6742081447963801,0.4092683629809102,0.35714285714285715
XGBoost,seed_42,long,228,0.6754385964912281,0.4196194507579707,0.23809523809523808
XGBoost,seed_52,short,245,0.7224489795918367,0.40780350438047563,0.391304347826087
XGBoost,seed_52,medium,229,0.6506550218340611,0.3998521234512614,0.45454545454545453
XGBoost,seed_52,long,230,0.6086956521739131,0.3834532647633947,0.2727272727272727
XGBoost,seed_62,short,237,0.7172995780590717,0.44844795724574993,0.3181818181818182
XGBoost,seed_62,medium,230,0.6565217391304348,0.37722701678057097,0.4
XGBoost,seed_62,long,237,0.620253164556962,0.3695809542139817,0.20833333333333334
