feature,importance,feature_group
warning_word_count,0.01195022,handcrafted
first_person_ratio,0.010687486,handcrafted
svd_component_072,0.006972248,svd_component
svd_component_156,0.0063501536,svd_component
svd_component_002,0.0060888524,svd_component
svd_component_114,0.0058886083,svd_component
svd_component_202,0.005195486,svd_component
svd_component_036,0.0051536034,svd_component
svd_component_143,0.0051127006,svd_component
svd_component_062,0.0050912015,svd_component
svd_component_003,0.005002579,svd_component
svd_component_130,0.0049665864,svd_component
svd_component_008,0.004950302,svd_component
svd_component_058,0.0049326485,svd_component
svd_component_077,0.004897087,svd_component
svd_component_063,0.0048878174,svd_component
svd_component_176,0.0048796427,svd_component
svd_component_253,0.0047949106,svd_component
svd_component_188,0.0047898595,svd_component
svd_component_268,0.004775754,svd_component
svd_component_282,0.0047612777,svd_component
svd_component_018,0.004732347,svd_component
svd_component_125,0.004663192,svd_component
svd_component_070,0.0046588075,svd_component
svd_component_201,0.004628439,svd_component
svd_component_263,0.004547489,svd_component
svd_component_249,0.0045328457,svd_component
svd_component_022,0.004529096,svd_component
svd_component_073,0.004514889,svd_component
svd_component_210,0.0045141885,svd_component
svd_component_266,0.0044938065,svd_component
svd_component_265,0.0044812514,svd_component
svd_component_192,0.004476518,svd_component
svd_component_005,0.0044752522,svd_component
svd_component_223,0.004389795,svd_component
svd_component_140,0.0043798303,svd_component
svd_component_123,0.0043701725,svd_component
svd_component_183,0.004334739,svd_component
svd_component_119,0.004323048,svd_component
svd_component_199,0.0042977585,svd_component
absolutist_ratio,0.0042828713,handcrafted
svd_component_264,0.0042806477,svd_component
svd_component_276,0.004276923,svd_component
svd_component_160,0.004232317,svd_component
svd_component_170,0.0042169755,svd_component
svd_component_004,0.0042079454,svd_component
svd_component_252,0.0041780057,svd_component
svd_component_245,0.004159595,svd_component
svd_component_287,0.00414283,svd_component
svd_component_209,0.004141326,svd_component
svd_component_171,0.0041380124,svd_component
svd_component_219,0.004132917,svd_component
svd_component_007,0.004132544,svd_component
svd_component_241,0.0041309926,svd_component
svd_component_190,0.0041024126,svd_component
svd_component_247,0.004058962,svd_component
svd_component_284,0.0040431307,svd_component
svd_component_228,0.004035305,svd_component
svd_component_060,0.003982319,svd_component
svd_component_269,0.0039743213,svd_component
svd_component_153,0.0039676237,svd_component
svd_component_157,0.003954145,svd_component
svd_component_105,0.0039494676,svd_component
svd_component_024,0.0039404347,svd_component
svd_component_027,0.0039192014,svd_component
svd_component_121,0.0039022684,svd_component
svd_component_298,0.0038966078,svd_component
svd_component_217,0.0038909607,svd_component
svd_component_033,0.0038767045,svd_component
svd_component_023,0.003860595,svd_component
svd_component_020,0.0038131627,svd_component
svd_component_113,0.0037604421,svd_component
svd_component_216,0.0037573471,svd_component
svd_component_197,0.0037489443,svd_component
svd_component_096,0.003745932,svd_component
svd_component_262,0.0037375318,svd_component
svd_component_025,0.003718863,svd_component
svd_component_173,0.0037154958,svd_component
negation_ratio,0.0037143282,handcrafted
svd_component_015,0.0037100546,svd_component
svd_component_237,0.0036742203,svd_component
svd_component_165,0.003662084,svd_component
svd_component_097,0.0036510848,svd_component
svd_component_221,0.003638974,svd_component
svd_component_189,0.003637994,svd_component
svd_component_163,0.003636766,svd_component
svd_component_099,0.003596455,svd_component
svd_component_001,0.0035511462,svd_component
svd_component_145,0.0035391035,svd_component
svd_component_075,0.0035241114,svd_component
svd_component_042,0.003522722,svd_component
svd_component_065,0.0035198734,svd_component
svd_component_071,0.0035100484,svd_component
svd_component_106,0.0035065173,svd_component
svd_component_184,0.0034962292,svd_component
svd_component_275,0.0034852147,svd_component
svd_component_132,0.0034828112,svd_component
svd_component_049,0.0034530906,svd_component
svd_component_082,0.0034359214,svd_component
svd_component_224,0.003424452,svd_component
svd_component_218,0.0034134085,svd_component
svd_component_185,0.0034011782,svd_component
svd_component_220,0.0034008168,svd_component
svd_component_179,0.0033985102,svd_component
svd_component_059,0.0033796518,svd_component
svd_component_095,0.0033784132,svd_component
svd_component_128,0.003371805,svd_component
svd_component_045,0.0033658077,svd_component
svd_component_260,0.003354047,svd_component
svd_component_061,0.0033428534,svd_component
svd_component_098,0.0033400252,svd_component
svd_component_142,0.0033276,svd_component
svd_component_168,0.003326198,svd_component
svd_component_109,0.0033222898,svd_component
svd_component_148,0.0033209275,svd_component
svd_component_131,0.0033105167,svd_component
svd_component_240,0.0033035665,svd_component
svd_component_169,0.0032997024,svd_component
svd_component_124,0.0032996417,svd_component
svd_component_286,0.0032989401,svd_component
svd_component_293,0.003294721,svd_component
svd_component_248,0.0032911745,svd_component
svd_component_255,0.0032886222,svd_component
svd_component_014,0.0032810986,svd_component
svd_component_079,0.0032800173,svd_component
svd_component_229,0.0032700778,svd_component
svd_component_280,0.0032667809,svd_component
svd_component_214,0.0032660288,svd_component
svd_component_277,0.0032633182,svd_component
svd_component_115,0.0032609021,svd_component
svd_component_017,0.0032580043,svd_component
sentence_count,0.0032541652,handcrafted
svd_component_101,0.0032450117,svd_component
svd_component_297,0.0032443693,svd_component
svd_component_091,0.0032357725,svd_component
svd_component_261,0.0032357061,svd_component
svd_component_006,0.0032301561,svd_component
svd_component_026,0.003230015,svd_component
svd_component_291,0.003223674,svd_component
svd_component_019,0.0032201973,svd_component
svd_component_078,0.003215264,svd_component
svd_component_288,0.003207203,svd_component
svd_component_011,0.003205778,svd_component
svd_component_233,0.0031996758,svd_component
svd_component_239,0.0031928374,svd_component
svd_component_285,0.0031926124,svd_component
svd_component_029,0.003192513,svd_component
svd_component_230,0.0031924448,svd_component
svd_component_127,0.0031825206,svd_component
svd_component_227,0.0031800335,svd_component
svd_component_182,0.003172922,svd_component
svd_component_155,0.0031660208,svd_component
svd_component_295,0.00316031,svd_component
svd_component_196,0.003143917,svd_component
svd_component_102,0.00314161,svd_component
svd_component_213,0.0031267037,svd_component
svd_component_122,0.0031182913,svd_component
svd_component_154,0.0031108472,svd_component
svd_component_013,0.003083564,svd_component
svd_component_300,0.0030821748,svd_component
svd_component_151,0.0030818104,svd_component
svd_component_081,0.0030800556,svd_component
svd_component_076,0.0030760306,svd_component
svd_component_136,0.0030706187,svd_component
